jd_key,jobid,opentime,title,funtype,std_job,it_related,tier,techstack,level,level_source,salary,salary_monthly,salary_weight,sample_weight,work_year,skill_vec_01,skill_vec_prof,task_vec_01,skillpoint_map,n_skills,n_tasks,n_skillpoints,n_prof
d39b6c6491f09bfef9137aba4eeb040b,113821784,2022-10-01,Java开发工程师,软件工程师,Java开发工程师,True,1,后端开发与业务逻辑,高级(5-9年),text,1-1.5万,12500.0,1.0,11.4381,,书面技术文档撰写|数据管理与数据库|大数据与分布式计算|程序设计与软件工程|人机交互与用户体验|操作系统与系统管理|计算机网络与通信技术|云原生与分布式系统,程序设计与软件工程:P3;书面技术文档撰写:U;计算机网络与通信技术:P2;人机交互与用户体验:U;操作系统与系统管理:P2;数据管理与数据库:P3;大数据与分布式计算:U;云原生与分布式系统:U,应用软件开发|系统架构设计|数据库开发与管理|系统运维|UI/UX设计,"程序设计与软件工程:Java,Spring;操作系统与系统管理:Linux;数据管理与数据库:MySQL",8,5,4,8
790845a1b37e2a264025e5ed54c29b0a,115511976,2022-10-01,技术经理,技术研发经理/主管,技术经理,True,1,,高级(5-9年),text,1.2-2万,16000.0,1.0,11.4154,,口头技术沟通与汇报|团队协作与协调|时间与资源统筹管理,时间与资源统筹管理:U;团队协作与协调:U;口头技术沟通与汇报:U,IT项目管理|技术团队管理,,3,2,0,3
45d926a78afeafea962406e758b8d625,122933373,2022-10-01,高级软件工程师,高级软件工程师,软件工程师,True,1,后端开发与业务逻辑,高级(5-9年),title,1.5-2万,17500.0,1.0,11.4354,,批判性逻辑思考|口头技术沟通与汇报|书面技术文档撰写|团队协作与协调|需求洞察与服务意识|时间与资源统筹管理|环境适应与压力耐受|严谨细致与诚信自律|机器学习与深度学习|自然语言处理技术|生成式AI应用开发|程序设计与软件工程|算法与数据结构|软件架构与系统设计|系统测试与质量评估|人机交互与用户体验|计算机网络与通信技术,生成式AI应用开发:P2;时间与资源统筹管理:U;需求洞察与服务意识:U;批判性逻辑思考:U;程序设计与软件工程:P2;计算机网络与通信技术:U;软件架构与系统设计:U;系统测试与质量评估:P2;自然语言处理技术:P2;人机交互与用户体验:P2;书面技术文档撰写:U;机器学习与深度学习:U;算法与数据结构:U;团队协作与协调:U;口头技术沟通与汇报:U,应用软件开发|算法研发|大模型应用开发|软件测试|UI/UX设计|技术文档管理,"程序设计与软件工程:Java,Kotlin,Eclipse,JUnit;计算机网络与通信技术:HTTP;系统测试与质量评估:JUnit",17,6,6,15
d5544f7f7468a3988fec8812a2f0a1b8,127281459,2022-10-01,自动化测试工程师,自动化测试,测试工程师,True,1,DevOps 与自动化,,,1.5-2万,17500.0,1.0,11.4389,,终身学习与知识更新|口头技术沟通与汇报|严谨细致与诚信自律|数据管理与数据库|程序设计与软件工程|系统测试与质量评估,口头技术沟通与汇报:U,应用软件开发|数据库开发与管理|软件测试,"程序设计与软件工程:Python;数据管理与数据库:MySQL,SQL",6,3,3,1
a4946d901c9784a22135fb7c2c47e107,129065376,2022-10-01,系统工程师,系统架构设计师,系统工程师,True,1,基础设施与云原生|安全与合规,,,1.5-3万,22500.0,1.0,11.4248,,终身学习与知识更新|批判性逻辑思考|大数据与分布式计算|操作系统与系统管理|计算机网络与通信技术|网络安全与数据隐私|云原生与分布式系统|系统部署交付与运维,批判性逻辑思考:U;计算机网络与通信技术:P2;网络安全与数据隐私:P2;操作系统与系统管理:P3;系统部署交付与运维:P2;云原生与分布式系统:P2;大数据与分布式计算:U,系统运维|网络运维|信息安全,"操作系统与系统管理:Linux,Windows Server;计算机网络与通信技术:TCP/IP,交换机;云原生与分布式系统:VMware vSphere,FusionSphere,Nutanix AHV,vSAN,VMware,HCI;网络安全与数据隐私:CISP",8,3,11,7
05659e528af6622bd4dbd39e796f3384,129768793,2022-10-01,软件研发工程师（HM）,C/C++开发工程师,C/C++开发工程师,True,3,后端开发与业务逻辑,,,1.3-2.5万,19000.0,1.0,11.4474,,批判性逻辑思考|口头技术沟通与汇报|团队协作与协调|计算机视觉与多模态|程序设计与软件工程|软件架构与系统设计|计算机网络与通信技术,软件架构与系统设计:P3;程序设计与软件工程:P2;计算机网络与通信技术:P2;计算机视觉与多模态:U;团队协作与协调:U;口头技术沟通与汇报:U;批判性逻辑思考:U,应用软件开发|算法研发,"程序设计与软件工程:C++,Java,Qt;计算机网络与通信技术:TCP/IP",7,2,4,7
548d7f89c440d5e6fdc73d3b5ce2a62f,130956565,2022-10-01,C++开发工程师,C/C++开发工程师,C/C++开发工程师,True,3,后端开发与业务逻辑,,,1.2-1.8万·15薪,18750.0,1.0,11.4474,,书面技术文档撰写|程序设计与软件工程|软件架构与系统设计|系统测试与质量评估|操作系统与系统管理|计算机网络与通信技术,程序设计与软件工程:P2;软件架构与系统设计:P3;书面技术文档撰写:U;系统测试与质量评估:P1;计算机网络与通信技术:P2;操作系统与系统管理:P2,应用软件开发|系统架构设计|软件测试|技术文档管理,"程序设计与软件工程:C++;计算机网络与通信技术:TCP/IP,HTTP;操作系统与系统管理:Linux",6,4,4,6
3a67bac16435206fbb65d603387f6c5b,132581506,2022-10-01,智能化/弱电设计工程师（2022届实习生）,智能大厦/综合布线/安防/弱电,系统集成工程师,True,3,,实习/应届,title,110元/天,2420.0,1.0,11.493,,口头技术沟通与汇报|团队协作与协调|需求洞察与服务意识|时间与资源统筹管理|严谨细致与诚信自律|计算机硬件与数字电路|嵌入式系统与固件开发|计算机网络与通信技术,需求洞察与服务意识:U;时间与资源统筹管理:U;口头技术沟通与汇报:U;团队协作与协调:U;计算机硬件与数字电路:U;计算机网络与通信技术:P1;嵌入式系统与固件开发:P1,系统架构设计,,8,1,0,7
23c239243c38d980d94feec5ecdad74a,132999727,2022-10-01,系统工程师（前瞻）,电子技术研发工程师,系统工程师,True,1,,,,1-2万,15000.0,1.0,11.4248,,终身学习与知识更新|书面技术文档撰写|需求洞察与服务意识|时间与资源统筹管理|AI任务拆解与规划|系统测试与质量评估|计算机硬件与数字电路,AI任务拆解与规划:U;书面技术文档撰写:U;需求洞察与服务意识:U;时间与资源统筹管理:U;系统测试与质量评估:P3;计算机硬件与数字电路:U,算法研发|软件测试|售前技术支持|产品设计,,7,4,0,6
2e48512d369aa7c71d7c75bc7f3b4104,133663124,2022-10-01,算法工程师,算法工程师,算法工程师,True,1,AI/ML 与数据智能,中级(3-4年),text,1.5-3万,22500.0,1.0,11.4609,,终身学习与知识更新|机器学习与深度学习|计算机视觉与多模态|计算数学与数据建模|数据分析与可视化|程序设计与软件工程|软件架构与系统设计|系统测试与质量评估,计算机视觉与多模态:P3;机器学习与深度学习:P3;计算数学与数据建模:P2;程序设计与软件工程:P3;软件架构与系统设计:U;系统测试与质量评估:U;数据分析与可视化:U,应用软件开发|算法研发|系统架构设计|软件测试,"机器学习与深度学习:TensorFlow,Caffe,PyTorch,MXNet,Keras;程序设计与软件工程:C++,Python,MATLAB;计算机视觉与多模态:OpenCV,Halcon",8,4,10,7
