forecast_quarter,job,skill,p50_uni,p50_cov,signal,signal_dir,last_share,n_hist_quarters
2026-Q3,.NET开发工程师,AI任务拆解与规划,0.0017137853,0.0017661962192505598,5.24109192505597e-05,up,0.0021,16.0
2026-Q3,.NET开发工程师,AI安全与风险防控,0.00026702508,0.00028418461442925036,1.7159534429250355e-05,up,0.001,4.0
2026-Q3,.NET开发工程师,AI幻觉识别与校验,0.00028633152,0.0003810712369158864,9.47397169158864e-05,up,0.001,1.0
2026-Q3,.NET开发工程师,AI智能体构建与编排,3.7631398e-06,6.411893991753459e-06,2.648754191753459e-06,up,0.0,3.0
2026-Q3,.NET开发工程师,RAG与向量数据库,0.0013604788,0.0013774047838523984,1.6925983852398305e-05,up,0.001,2.0
2026-Q3,.NET开发工程师,严谨细致与诚信自律,0.03742261,0.03673721104860306,-0.0006853989513969441,down,0.0381,17.0
2026-Q3,.NET开发工程师,书面技术文档撰写,0.06309453,0.06322142481803894,0.00012689481803894453,up,0.0597,17.0
2026-Q3,.NET开发工程师,云原生与分布式系统,0.025758792,0.025688983500003815,-6.980849999618441e-05,down,0.0329,17.0
2026-Q3,.NET开发工程师,人机交互与用户体验,0.016870009,0.01707920804619789,0.00020919904619789292,up,0.0216,17.0
2026-Q3,.NET开发工程师,人机语义对齐与协同,0.00018217007,0.0001824819773901254,3.119073901254035e-07,up,0.001,4.0
2026-Q3,.NET开发工程师,信息管理与数字素养,0.0053471057,0.005248339381068945,-9.876631893105531e-05,down,0.0062,17.0
2026-Q3,.NET开发工程师,创造力与创新思维,0.006320264,0.006163513753563166,-0.00015675024643683425,down,0.0051,17.0
2026-Q3,.NET开发工程师,口头技术沟通与汇报,0.054216262,0.05492731183767319,0.0007110498376731861,up,0.0535,17.0
2026-Q3,.NET开发工程师,团队协作与协调,0.07491627,0.07554731518030167,0.0006310451803016731,up,0.0751,17.0
2026-Q3,.NET开发工程师,图形与交互技术,0.0018811177,0.001850673696026206,-3.044400397379408e-05,down,0.0021,16.0
2026-Q3,.NET开发工程师,多方权衡与方案决策,0.00965238,0.009747783653438091,9.540365343809094e-05,up,0.0103,17.0
2026-Q3,.NET开发工程师,大数据与分布式计算,0.0046375287,0.0045388201251626015,-9.870857483739847e-05,down,0.0041,17.0
2026-Q3,.NET开发工程师,大模型开发与微调,-1.6753038e-06,-3.2948446460068226e-07,1.3458193353993178e-06,up,0.0,5.0
2026-Q3,.NET开发工程师,大模型选型与评测,-3.686102e-06,-6.182672223076224e-07,3.0678347776923774e-06,up,0.0,3.0
2026-Q3,.NET开发工程师,嵌入式系统与固件开发,0.014392169,0.01439369935542345,1.5303554234506744e-06,up,0.0144,17.0
2026-Q3,.NET开发工程师,归纳与演绎推理,0.004450866,0.004505294840782881,5.442884078288041e-05,up,0.0051,17.0
2026-Q3,.NET开发工程师,批判性逻辑思考,0.037072416,0.0372428297996521,0.00017041379965210268,up,0.036,17.0
2026-Q3,.NET开发工程师,提示设计与提示工程,0.0007337804,0.000764428754337132,3.064835433713199e-05,up,0.001,4.0
2026-Q3,.NET开发工程师,操作系统与系统管理,0.01427835,0.014282146468758583,3.7964687585826523e-06,up,0.0154,17.0
2026-Q3,.NET开发工程师,数据分析与可视化,0.0095017385,0.009384511038661003,-0.00011722746133899752,down,0.0113,17.0
2026-Q3,.NET开发工程师,数据管理与数据库,0.09829861,0.09815476089715958,-0.00014384910284041819,down,0.0998,17.0
2026-Q3,.NET开发工程师,时间与资源统筹管理,0.015176253,0.01532503217458725,0.0001487791745872491,up,0.0154,17.0
2026-Q3,.NET开发工程师,机器学习与深度学习,0.0015006581,0.0014948139432817698,-5.844156718230265e-06,down,0.0021,15.0
2026-Q3,.NET开发工程师,环境适应与压力耐受,0.021848358,0.022173572331666946,0.00032521433166694813,up,0.0134,17.0
