skill,n_series,signal_mean,signal_median,n_up,n_down,n_zero
AI任务拆解与规划,98,2.6e-05,1.5e-05,73,25,0
AI安全与风险防控,71,2.8e-05,5e-06,58,13,0
AI幻觉检测与缓解能力,5,4.6e-05,2e-06,5,0,0
AI幻觉识别与校验,50,3.8e-05,5e-06,44,6,0
AI智能体构建与编排,75,0.000326,3e-05,66,9,0
AI输出质量评估,75,2.6e-05,6e-06,60,15,0
RAG与向量数据库,53,-1.8e-05,9e-06,45,8,0
严谨细致与诚信自律,103,-0.000199,-5e-05,43,60,0
书面技术文档撰写,103,5.9e-05,2.2e-05,53,50,0
云原生与分布式系统,101,-9.2e-05,-5.1e-05,36,65,0
人机交互与用户体验,102,-8e-05,2.6e-05,57,45,0
人机语义对齐与协同,63,-2e-06,3e-06,54,9,0
仿真数据合成,51,-1.9e-05,0.0,29,22,0
信息管理与数字素养,102,0.000101,9.4e-05,73,29,0
创造力与创新思维,103,-1.9e-05,-1.6e-05,50,53,0
口头技术沟通与汇报,103,0.001009,0.000346,73,30,0
团队协作与协调,104,0.000562,0.000174,78,26,0
图形与交互技术,89,7.4e-05,9e-06,61,28,0
多方权衡与方案决策,102,0.000338,0.000112,83,19,0
大数据与分布式计算,93,-5e-05,7e-06,53,40,0
大模型开发与微调,64,-2.5e-05,3e-06,43,21,0
大模型选型与评测,67,0.000122,1.4e-05,54,13,0
嵌入式系统与固件开发,99,-3.4e-05,9e-06,63,36,0
异构模态组合与泛化能力,25,2.2e-05,1e-06,22,3,0
归纳与演绎推理,100,8.6e-05,4.3e-05,82,18,0
批判性逻辑思考,104,0.000168,7.3e-05,68,36,0
提示设计与提示工程,65,3e-05,1e-06,40,25,0
操作系统与系统管理,96,-2.2e-05,2e-06,49,47,0
数据分析与可视化,101,4.9e-05,2.3e-05,55,46,0
数据管理与数据库,103,-6.2e-05,-3.1e-05,45,58,0
时间与资源统筹管理,102,5.5e-05,3e-06,52,50,0
机器学习与深度学习,100,7.4e-05,1.8e-05,59,41,0
环境适应与压力耐受,103,-0.000186,-0.000146,27,76,0
生成式AI原理与应用,90,-2e-05,1e-05,61,29,0
生成式AI应用开发,91,-0.000101,-1e-06,45,46,0
目标导向与攻坚韧性,102,2.9e-05,-5.8e-05,37,65,0
程序设计与软件工程,104,5.9e-05,4.4e-05,58,46,0
算法与数据结构,99,-6.5e-05,1.7e-05,64,35,0
系统测试与质量评估,103,-0.000183,-8e-06,45,58,0
系统部署交付与运维,99,-5.4e-05,-4e-05,42,57,0
终身学习与知识更新,103,0.000872,0.000196,70,33,0
网络安全与数据隐私,101,0.000275,4.3e-05,74,27,0
自我监测与工作复盘,100,-5.3e-05,2e-06,51,49,0
自然语言处理技术,87,3.2e-05,0.0,45,42,0
计算数学与数据建模,99,-3.3e-05,2e-06,55,44,0
计算机硬件与数字电路,96,-0.000111,3e-06,54,42,0
计算机网络与通信技术,102,4e-06,3e-06,53,49,0
计算机视觉与多模态,94,0.000121,2.1e-05,70,24,0
说服与分歧谈判,100,-3.3e-05,-6e-06,38,62,0
负责任AI与可解释性,66,1.8e-05,5e-06,50,16,0
软件架构与系统设计,104,0.000209,9.6e-05,74,30,0
需求洞察与服务意识,103,0.000136,0.000122,59,44,0
